"Bob,Express","El,Rio","Fury","Indiana,River","Mount,Mara,VR","Naga,Bay","Oki,Doki","Revolution","Speedy,Bob","The,Dreamcatcher","Typhoon","Wildwaterbaan",time
0,0,0,0,0,0,0,0,0,0,0,0,20221023 065001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 070001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 071001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 072001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 073001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 074001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 075002
0,0,0,0,0,0,0,0,0,0,0,0,20221023 080001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 081001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 082001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 083001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 084001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 085001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 090001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 091001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 092001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 093001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 094001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 095001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 100001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 101001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 102001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 103001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 104001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 105001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 110002
0,0,0,0,0,0,0,0,0,0,0,0,20221023 111001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 112001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 113001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 114001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 115001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 120001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 121001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 122001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 123001
15,15,20,5,0,25,25,30,15,15,40,5,20221023 124001
15,15,20,5,0,25,25,30,15,15,40,5,20221023 125001
15,15,20,5,0,25,25,30,15,15,40,5,20221023 130001
15,15,20,5,0,25,25,30,15,15,40,5,20221023 131001
